name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Apple,9267.98億, - Apple Inc. (NASDAQ),USD,1.0,92679800000000,92679800000000
Alphabet,7431.45億, - Alphabet Inc Class A (NASDAQ),USD,1.0,74314500000000,74314500000000
Microsoft,7591.38億, - Microsoft Corporation (NASDAQ),USD,1.0,75913800000000,75913800000000
Amazon.com,7836.68億," - Amazon.com, Inc. (NASDAQ)",USD,1.0,78366800000000,78366800000000
Facebook,5406.74億," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,54067400000000,54067400000000
Tencent Holdings,3.82兆, - 騰訊 (HKG),HKD,0.1275,382000000000000,48705000000000
Alibaba,5162.96億, - Alibaba Group Holding Ltd (NYSE),USD,1.0,51629600000000,51629600000000
General Electric,1237.23億, - General Electric Company (NYSE),USD,1.0,12372300000000,12372300000000
Samsung Electronics,365.99兆, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,36599000000000000,32939100000000
AT&T,1991.83億, - AT&T Inc. (NYSE),USD,1.0,19918300000000,19918300000000
China Mobile,1.45兆, - 中國移動 (HKG),HKD,0.1275,145000000000000,18487500000000
Verizon Communications,1997.77億, - Verizon Communications Inc. (NYSE),USD,1.0,19977700000000,19977700000000
Oracle,1906.44億, - Oracle Corporation (NYSE),USD,1.0,19064400000000,19064400000000
Intel,2594.92億, - Intel Corporation (NASDAQ),USD,1.0,25949200000000,25949200000000
Cisco Systems,2024.12億," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20241200000000,20241200000000
IBM,1301.95億, - IBM Common Stock (NYSE),USD,1.0,13019500000000,13019500000000
Taiwan Semiconductor,5.83兆, - 台灣積體電路製造 (TPE),TWD,,583000000000000,
SAP,1188.79億, - SAP SE (ETR),EUR,1.1644,11887900000000,13842270760000
3M,1172.42億, - 3M Co (NYSE),USD,1.0,11724200000000,11724200000000
Siemens,977.44億, - Siemens AG (ETR),EUR,1.1644,9774400000000,11381311360000
Honeywell International,1117.48億, - Honeywell International Inc. (NYSE),USD,1.0,11174800000000,11174800000000
Nippon Telegraph & Tel,10.75兆, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,1075000000000000,9782500000000
Broadcom,1027.00億, - Broadcom Inc (NASDAQ),USD,1.0,10270000000000,10270000000000
Booking Holdings,1001.25億, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000,10012500000000
Qualcomm,871.63億," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8716300000000,8716300000000
Texas Instruments,1092.47億, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10924700000000,10924700000000
Deutsche Telekom,632.30億, - Deutsche Telekom AG (ETR),EUR,1.1644,6323000000000,7362501200000
Softbank,8.47兆, - SoftBank Group Corp (TYO),JPY,0.0091,847000000000000,7707700000000
Accenture,992.03億, - Accenture Plc (NYSE),USD,1.0,9920300000000,9920300000000
Tata Consultancy Services,6.73兆, - Tata Consultancy Services Limited (NSE),INR,0.0148,673000000000000,9960400000000
KDDI,7.61兆, - KDDI Corp (TYO),JPY,0.0091,761000000000000,6925100000000
Vodafone,514.10億, - Vodafone Group plc (LON),GBP,1.3313,5141000000000,6844213300000
Adobe Systems,1195.32億, - Adobe Systems Incorporated (NASDAQ),USD,1.0,11953200000000,11953200000000
Netflix,1545.91億," - Netflix, Inc. (NASDAQ)",USD,1.0,15459100000000,15459100000000
Baidu,851.15億, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8511500000000,8511500000000
Salesforce.com,930.80億," - salesforce.com, inc. (NYSE)",USD,1.0,9308000000000,9308000000000
NVIDIA,1520.99億, - NVIDIA Corporation (NASDAQ),USD,1.0,15209900000000,15209900000000
ASML Holding,741.90億, - ASML Holding NV (AMS),EUR,1.1644,7419000000000,8638683600000
Telefónica,402.96億, - Telefonica SA (BME),EUR,1.1644,4029600000000,4692066240000
Hon Hai Precision,,,,1.0,,
ABB,499.02億, - ABB Ltd. (VTX),CHF,1.0058,4990200000000,5019143160000
Keyence,8.07兆, - KEYENCE CORPORATION (TYO),JPY,0.0091,807000000000000,7343700000000
America Movil,1.05兆, - America Movil SAB de CV (BMV),MXN,0.0511,105000000000000,5365500000000
Automatic Data Processing,572.94億, - Automatic Data Processing (NASDAQ),USD,1.0,5729400000000,5729400000000
JD.com,522.96億, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5229600000000,5229600000000
SingTel,543.76億, - Singapore Telecommunications Limited (SGX),SGD,0.7457,5437600000000,4054818320000
Yahoo!,,,,1.0,,
Etisalat,,,,1.0,,
Applied Materials,544.15億," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5441500000000,5441500000000
Schneider Electric,430.47億, - Schneider Electric SE (EPA),EUR,1.1644,4304700000000,5012392680000
