rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Apple, - Apple Inc. (NASDAQ),USD,1.0,92768800000000.0
2,+ 0,Amazon.com," - Amazon.com, Inc. (NASDAQ)",USD,1.0,82345800000000.0
3,+ 0,Alphabet, - Alphabet Inc Class A (NASDAQ),USD,1.0,79085600000000.0
4,+ 0,Microsoft, - Microsoft Corporation (NASDAQ),USD,1.0,76499500000000.0
5,+ 0,Facebook," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,55423900000000.0
6,+ 0,Alibaba, - Alibaba Group Holding Ltd (NYSE),USD,1.0,52200800000000.0
7,+ 0,Tencent Holdings, - 騰訊 (HKG),HKD,0.1274,49686000000000.0
8,+ 0,Samsung Electronics, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30600000000000.0
9,+ 0,Intel, - Intel Corporation (NASDAQ),USD,1.0,25445400000000.0
10,+ 0,Cisco Systems," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20493600000000.0
11,+ 0,AT&T, - AT&T Inc. (NYSE),USD,1.0,20169600000000.0
12,+ 0,Taiwan Semiconductor, - 台灣積體電路製造 (TPE),TWD,0.03328472,19937547280000.0
13,+ 0,Oracle, - Oracle Corporation (NYSE),USD,1.0,19868500000000.0
14,+ 0,Verizon Communications, - Verizon Communications Inc. (NYSE),USD,1.0,19683500000000.0
15,+ 0,China Mobile, - 中國移動 (HKG),HKD,0.1274,18345600000000.0
16,+ 0,Netflix," - Netflix, Inc. (NASDAQ)",USD,1.0,16477900000000.0
17,+ 0,NVIDIA, - NVIDIA Corporation (NASDAQ),USD,1.0,15830200000000.0
18,+ 0,SAP, - SAP SE (ETR),EUR,1.1596,14574432600000.0
19,+ 0,IBM, - IBM Common Stock (NYSE),USD,1.0,13452000000000.0
20,+ 0,Adobe Systems, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12306700000000.0
21,+ 0,3M, - 3M Co (NYSE),USD,1.0,12244200000000.0
22,+ 0,General Electric, - General Electric Company (NYSE),USD,1.0,11763200000000.0
23,+ 0,Siemens, - Siemens AG (ETR),EUR,1.1596,11591245640000.0
24,+ 0,Broadcom, - Broadcom Inc (NASDAQ),USD,1.0,11588900000000.0
25,+ 0,Texas Instruments, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11273500000000.0
26,+ 0,Honeywell International, - Honeywell International Inc. (NYSE),USD,1.0,11267900000000.0
27,+ 0,Accenture, - Accenture Plc (NYSE),USD,1.0,10530000000000.0
